,Unnamed: 0,1,2,3,4,5,6
9913,9914,3,1,2,0,1,How did I get stuck with the worlds biggest cunt for a sister? I just wanna set the cunt on fire and send her straight to hell
9914,9915,3,0,3,0,1,How do I tell this cashier that I'm tryna fuck her right in the pussy
9915,9916,3,0,3,0,1,How do ask a broad to JUST eat her pussy?
9916,9917,3,0,3,0,1,How do you bloke someone on insta?? Dumb bitch scares me
9917,9918,3,0,3,0,1,"How do you go to sleep at night bitch, if I'm not the one sleeping with youuu!!&#128266;"
9918,9919,3,0,3,0,1,How do you greet your friends? &#8212; yo bitch what's up &#9829; http://t.co/012llZCmSU
9919,9920,6,1,5,0,1,How do you photoshop yourself and still be ugly? That's like cheating on test and still failing... Be ashamed bitch!
9920,9921,3,0,3,0,1,How filthy of a cunt is @DanaBashCNN to pretend that Obama threatening amnesty is not vastly more egregious than Boehner on Obamacare? #tcot
9921,9922,3,0,3,0,1,How he move in a room full of No's? How he stay faithful in a room full of hoes?
9922,9923,3,0,0,3,2,How is Angry Birds the movie going to work? They're just floating bird heads?
9923,9924,3,0,0,3,2,How is that not a yellow on Ronaldo for full on body bumping the ref?
9924,9925,3,1,0,2,2,How long after the redskins change their nsme will all memorabilia w/redskind name be deemef racist and therefore illegal? Any thoughts?
9925,9926,3,0,1,2,2,How long are they going to let the fools in #Ferguson continue? Stop pussy footin' &amp; disperse them by WHATEVER means necessary!
9926,9927,3,0,0,3,2,How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.
9927,9928,3,0,3,0,1,How many times you hoes look at my picture a day &#128557;&#128557;&#128557;
9928,9929,3,0,3,0,1,How mich time the P O P Hold It Down nigga bitch catch?
9929,9930,3,1,2,0,1,"How my bestf gon call me "" People "" like ima regular niggah to her now smh ."
9930,9931,3,0,1,2,2,"How now, gung-ho?"
9931,9932,6,1,5,0,1,How she stay faithful with a room full of hoes
9932,9933,3,0,3,0,1,How tf you act like a bitch ?
9933,9934,3,0,1,2,2,How the hell was David Murphy's hit not a home run?! Clearly over the yellow line. @MLB another umpire mess up.... Smh
9934,9935,3,1,2,0,1,How this ugly ass nigga gets more pussy than me ?
9935,9936,3,0,3,0,1,"How u know u dont get real life pussy. Only carin bout her enterin your DMs 
RT @J0MAEL: She can enter my DMs anytime http://t.co/nZ74WBsDBH"
9936,9937,3,0,3,0,1,How y'all associate or even entertain that bitch ass nigga is beyond my comprehension
